Make,Model,Production Year,Date of Sale,Sold Price,Gearbox,Description,Auction House,Country of Sale,Spyder,LHD_RHD,URL
Range,Rover 30th Anniversary Limited Edition,2001,6 Aug 2025,"£10,000 - £12,000",Automatic,"Limited edition P38 right hand drive; rare opportunity to own a piece of Land Rover history; one of only 200 UK examples; two keepers from new, currently owned for the last 21 yearsA limited-edition 2001 Range Rover P38 30th Anniversary model, commemorating 30 years of the Range Rover, is available for sale. These models are sought after by collectors and enthusiasts due to their unique features and limited production numbers.Approximately 400 of these 30th Anniversary models were produced, with 200 for the UK market and 200 for the rest of the world.Each are adorned with a 30th Anniversary badge to the tailgate and production ended in 2001.Finished in Wimbledon Green Metallic with body-coloured bumpers and mirrors.The interior features Connolly hide leather, burr maple wood veneer, and high-quality wood carpets.Only two owners from new with the vendor owning the car for the last 21 years.Full-service history with 10 stamps in the book, the last being done in March 2024.With a total ...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-range-rover-second-generation-20b6e8
Bentley,Mulsanne S Auto,1991,6 Aug 2025,"£8,500 - £10,000",,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bentley-mulsanne-s-9f35cb
Jaguar,XKR Convertible,2001,6 Aug 2025,"£6,500 - £7,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xkr-656e16
Jaguar,XKR Auto,2003,6 Aug 2025,"£5,000 - £6,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xkr-99eae7
Austin-Healey,Frogeye Sprite Mk1,1959,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1959 Frogeye has an older restoration and a later 1,275cc engine, offering improved performance. While it lacks detailed history, it presents well and is ready to enjoy, though some wear is visible.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-healey-sprite-mk-i-84f716
Mercedes-Benz,380SLC Coupe (C107),1981,6 Aug 2025,"£6,000 - £7,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-c107-380-slc-4937fd
Jaguar,E-Type 4.2 Series 1.5 Fixed Head Coupe,1968,6 Aug 2025,"£55,000 - £75,000",Manual,"This Jaguar E-Type Series 1 ½ has undergone a full nut and bolt restoration, converted to RHD, and repainted in light gold with a fawn leather interior. Upgrades include HD8 carburettors, tubular exhaust manifold, adjustable shock absorbers, and uprated brakes, but the carburettors need balancing.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-e-type-series-1-5-fhc-76e043
Triumph,TR6,1970,6 Aug 2025,"£10,000 - £12,000",Manual,"Starting and driving; Hardtop included; only 6 owners; two within the same family in the past 55 yearsThe Triumph TR6 is a classic sports car produced by the Triumph Motor Company from 1969 to 1976.It's known for its powerful engine, muscular styling, and engaging driving experience. The TR6 is a popular choice for classic car enthusiasts and collectors due to its availability of parts and relatively straightforward maintenance.First registered in July 1970, only having 6 owners in total, two of which were in the same family.There are a few of the previous MOTs that come with the car confirming what we think to be the correct mileage of 68,650, although this cannot be confirmed.Although there is not a lot of history with this car, it looks well maintained and apart from a little bit of rust in places, it looks to be in nice original order, benefiting from a set of Wolfrace polished period alloy wheels too.The car was in storage for a period of time but recently had a quick charge o...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-tr6-d3efd3
Morgan,Plus 4,1966,6 Aug 2025,"£8,000 - £12,000",Manual,"This is a 1966 left-hand drive Morgan Plus 4, imported from Ohio in 2020. The car requires recommissioning and a repaint, though a new convertible hood has been fitted.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-morgan-plus-4-22fc3a
BSA,Scout Series Four,1938,6 Aug 2025,"£8,000 - £10,000",Manual,"This is a rare 1935 BSA Scout two-seater, a front-wheel-drive car with a convertible roof frame included. The car's color has been changed to blue, and while it hasn't been started, the engine turns over.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bsa-scout-b52f8f
Rolls-Royce,Corniche Convertible,1977,6 Aug 2025,"£15,000 - £20,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-rolls-royce-corniche-i-486b59
Jaguar,E-Type Series III V12 Roadster,1973,6 Aug 2025,"£30,000 - £40,000",Automatic,"LHD; imported in 2017; new grey hood; seems to start and drive as is should while driving around on siteManufactured on 9th February 1973, this E-Type was originally supplied to British Leyland Motors on 11th November 1974, presented with a Sable Brown exterior, biscuit interior and a black roof (now with a new grey replacement) and fitted with an automatic gearbox.The car eventually found its way to California, whereby the vendors partner imported the car to the UK in February 2017 for the sum of $59,000 plus shipping and has stayed in the same family since.All documents showing the import details are present with the car, including a copy of the owner’s logbook from California.Very little history is with the car but the service book is present although not stamped.The handbook pack is complete with its original identification plate which is present in the back of the service book and there is a Jaguar Heritage certificate present dated December 2016, which confirms the original s...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-e-type-series-iii-roadster-af488e
Sunbeam,16 HP Drophead Coupe,1932,6 Aug 2025,"£15,000 - £20,000",Manual,"This 1932 Sunbeam 16HP drophead coupe is listed as a rolling restoration project, requiring interior and mechanical work. It was purchased by the vendor's family in 1981 and comes with limited history, including a list of previous owners.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-sunbeam-sixteen-aae375
Saab,900S Turbo Convertible,1994,6 Aug 2025,"£3,000 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-saab-900-convertible-turbo-da568c
Saab,900i 16V Convertible,1992,6 Aug 2025,"£3,000 - £4,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-saab-900-convertible-802c33
Mazda,MX-5 Phoenix,2002,6 Aug 2025,"£1,800 - £2,200",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mazda-mx-5-nb-843f4a
Ford,Capri MkII 3.0 Ghia,1977,6 Aug 2025,"£9,500 - £11,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-capri-mk-ii-3-0-ghia-4babe9
,,TBC,6 Aug 2025,,Manual,"This 1977 MGB Roadster is described as a 'use and improve' example, with a recent leather interior and fabric roof. It features a 1,798cc engine with overdrive and has undergone restoration work in the past, presenting an opportunity for further improvements.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-85ac5f
Leyland,Cub KG2 Tanker,1932,6 Aug 2025,"£10,000 - £15,000",Manual,"This 1932 Leyland Cub KG2 tanker, owned for over 40 years, has been fully restored and is presented in the livery of the family fuel business. Displayed at the family yard in Tenbury and with a recorded straight-six 3,000cc engine, this rare survivor is a unique opportunity for commercial vehicle enthusiasts.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-leyland-other-3cdd6b
Vauxhall,Nova Star 3 Door Hatchback,1989,6 Aug 2025,£250 - £500,Manual,"This is a three-door hatchback project car with GTE seats and V5C. The engine is not running, making it suitable for restoration or parts.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-vauxhall-nova-31d736
Triumph,TR7 Convertible,1980,6 Aug 2025,"£4,000 - £5,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-tr7-convertible-76ee85
