Make,Model,Production Year,Date of Sale,Sold Price,Gearbox,Description,Auction House,Country of Sale,Spyder,LHD_RHD,URL
Jaguar,XJS 4.0 Celebration Convertible,1996,6 Aug 2025,"£15,000 - £17,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xjs-convertible-celebration-e253dd
Nash,Standard Six,1928,6 Aug 2025,"£6,000 - £8,000",Manual,"This is a restored, factory right-hand drive Nash sedan from the inter-war period. It features a smooth six-cylinder engine and has been well-maintained, making it a super alternative to the ubiquitous Ford Model A.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-nash-six-4b5357
Mini,Cooper 1.3i,1992,6 Aug 2025,"£6,500 - £7,500",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mini-cooper-1-3-70fa6f
Range,Rover Sport 5.0 V8 HSE,2009,6 Aug 2025,"£8,000 - £10,000",Automatic,"This Range Rover Sport boasts a 500bhp 5.0 V8 engine and a comprehensive service history, with recent major service. It presents very well with cream leather interior and long MOT, minor cosmetic imperfections.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-range-rover-third-generation-hse-faae32
Bentley,Continental GT,2007,6 Aug 2025,"£11,000 - £12,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bentley-continental-gt-67d294
Jeep,CJ-7 Golden Eagle,1978,6 Aug 2025,"£25,000 - £30,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jeep-cj7-e22380
Austin-Healey,Sprite Mk1,1959,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1959 LHD Frogeye Sprite was imported from the USA and has been fully restored, including a rebored 998cc engine and new steel clamshell bonnet. It was repainted in 2022 and is said to start and drive very well, with some minor issues.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-healey-sprite-mk-i-73a051
Mercedes-Benz,SL320,1998,3 Aug 2025,"£7,000",,HighlightsGreen-Black Metallic paintRemovable hardtop roof Extensive service historyMulti-contour seats 3.2-litre V6,PistonHeads,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/pistonheads-2025-08-03-mercedes-benz-r129-sl-320-b38a3c
Saab,900i 16V Convertible,1992,6 Aug 2025,"£3,000 - £4,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-saab-900-convertible-802c33
Rolls-Royce,Corniche Convertible,1977,6 Aug 2025,"£15,000 - £20,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-rolls-royce-corniche-i-486b59
Jaguar,XKR Convertible,2001,6 Aug 2025,"£6,500 - £7,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xkr-656e16
Jaguar,E-Type Series III V12 Roadster,1973,6 Aug 2025,"£30,000 - £40,000",Automatic,"LHD; imported in 2017; new grey hood; seems to start and drive as is should while driving around on siteManufactured on 9th February 1973, this E-Type was originally supplied to British Leyland Motors on 11th November 1974, presented with a Sable Brown exterior, biscuit interior and a black roof (now with a new grey replacement) and fitted with an automatic gearbox.The car eventually found its way to California, whereby the vendors partner imported the car to the UK in February 2017 for the sum of $59,000 plus shipping and has stayed in the same family since.All documents showing the import details are present with the car, including a copy of the owner’s logbook from California.Very little history is with the car but the service book is present although not stamped.The handbook pack is complete with its original identification plate which is present in the back of the service book and there is a Jaguar Heritage certificate present dated December 2016, which confirms the original s...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-e-type-series-iii-roadster-af488e
Foden,S39,1971,6 Aug 2025,"£5,000 - £7,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-foden-other-836522
Aston,Martin DBS Vantage,1971,6 Aug 2025,"£55,000 - £60,000",Manual,"Ultra-rare Aston Martin DBS Vantage with matching numbers and a 5-speed manual gearbox. Recent recommissioning worth £88k, but the paintwork needs attention, offering a great opportunity at a sensible price.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-aston-martin-dbs-vantage-059b5c
Morris,Six Police Car,1953,6 Aug 2025,"£4,000 - £6,000",Manual,This 1953 Morris Six MS was a Staffordshire police car and appeared on TV. It has an interesting history file with MOT certificates and memorabilia.,Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-morris-six-a22031
Pontiac,Firebird Trans Am Manual,1977,6 Aug 2025,"£10,000 - £12,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-pontiac-firebird-trans-am-5124d5
Triumph,GT6,1973,6 Aug 2025,"£8,000 - £10,000",Manual,"This GT6 was purchased at auction in December 2023, then again in May 2024, and is now being sold to make way for other projects. It benefits from a sports exhaust and overdrive, but the paintwork requires attention.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-gt6-mk-iii-9167bd
Ford,Zephyr Zodiac MkI,1956,6 Aug 2025,"£8,000 - £10,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-zephyr-zodiac-843e18
Daimler,250 V8,1968,6 Aug 2025,"£7,000 - £8,000",Automatic,"Classic car with low mileage and long-term ownership, indicating potential value. It requires some cosmetic work.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-daimler-v8-250-5d50bc
Mazda,MX-5 Phoenix,2002,6 Aug 2025,"£1,800 - £2,200",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mazda-mx-5-nb-843f4a
Mercedes-Benz,380SLC Coupe (C107),1981,6 Aug 2025,"£6,000 - £7,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-c107-380-slc-4937fd
MGB,Roadster,1965,6 Aug 2025,"£7,000 - £9,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-6a155d
,,TBC,6 Aug 2025,,Manual,"This 1953 Little Grey Fergie TE20 tractor, used for light work on a smallholding in Worcestershire for 20 years, has been well-maintained and stored in a barn. It features rebuilt hydraulics, a new petrol tank, new mudguards and rear tyres, and is road-registered, making it a delightful example of this agricultural icon.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ferguson-te20-ef7588
Audi,RS5 FSI Quattro Convertible,2015,6 Aug 2025,"£15,000 - £17,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-audi-rs5-152a42
,,TBC,6 Aug 2025,,Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-z3-roadster-5bad93
Saab,900S Turbo Convertible,1994,6 Aug 2025,"£3,000 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-saab-900-convertible-turbo-da568c
Jaguar,E-Type 4.2 Series 1.5 Fixed Head Coupe,1968,6 Aug 2025,"£55,000 - £75,000",Manual,"This Jaguar E-Type Series 1 ½ has undergone a full nut and bolt restoration, converted to RHD, and repainted in light gold with a fawn leather interior. Upgrades include HD8 carburettors, tubular exhaust manifold, adjustable shock absorbers, and uprated brakes, but the carburettors need balancing.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-e-type-series-1-5-fhc-76e043
BSA,Scout Series Four,1938,6 Aug 2025,"£8,000 - £10,000",Manual,"This is a rare 1935 BSA Scout two-seater, a front-wheel-drive car with a convertible roof frame included. The car's color has been changed to blue, and while it hasn't been started, the engine turns over.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bsa-scout-b52f8f
Austin,12/4 Heavy Saloon,1929,6 Aug 2025,"£5,000 - £7,000",Manual,"This 1929 Austin 12, owned since 1978, requires recommissioning but retains original features. Recent engine work and long-term storage suggest potential for vintage motoring with some effort.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-12-4-heavy-1ab8e0
Triumph,TR7 Convertible,1980,6 Aug 2025,"£4,000 - £5,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-tr7-convertible-76ee85
Lea-Francis,12.9hp Sports,1938,6 Aug 2025,"£25,000 - £30,000",Manual,"This is an extremely rare 1938 Lea-Francis Corsica-bodied Sports model, one of only three ever made. It has been owned by the current vendor for 47 years, never restored, and comes with a vast history file, making it an absolute gem for collectors.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-lea-francis-12-9hp-7baaca
,,TBC,6 Aug 2025,,Manual,"This classic car, with only two owners and a documented service history, presents a restoration opportunity. Although it requires full body work due to a Cat C insurance claim in 2005, the interior is in good condition and it comes with original handbooks.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-capri-mk-iii-1-6-laser-de4324
Ford,Fiesta 1.1 Popular Plus,1985,6 Aug 2025,"£4,500 - £6,500",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-fiesta-b8f64f
Mercedes-Benz,190D,1989,6 Aug 2025,"£2,500 - £3,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-w201-190-d-9fef26
Austin,7 Saloon,1932,6 Aug 2025,"£4,500 - £5,500",Manual,"This 1932 Austin 7 Saloon, first registered in Nottinghamshire, features an older restoration and a recent front suspension rebuild. It comes with a transferable Notts-issue number plate and is VSCC eligible, making it a charming and potentially valuable classic.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-seven-ff14e3
,,TBC,6 Aug 2025,,Automatic,"This early 2000s BMW flagship car features Alpina styling and a V12 engine, with a comprehensive service history. However, it has a bad scratch on the driver's side and an intermittent suspension fault.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-760li-0bf07b
Daimler,250 V8,1969,6 Aug 2025,"£8,000 - £10,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-daimler-v8-250-10b1c9
Land,Rover Defender 90,2000,6 Aug 2025,"£9,000 - £11,000",Manual,"This Defender TD5 from 2000 appears to be in very good condition with a well-documented service history and recent maintenance. It features a 2.5L diesel engine, manual transmission, and comes with desirable extras like alloy wheels and a towbar, making it a versatile and appealing classic 4x4.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-defender-90-439ae1
Austin,Champ,1953,6 Aug 2025,"£7,500 - £9,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-champ-ed7951
Land,Rover Series III 88inch,1981,6 Aug 2025,"£18,000 - £20,000",Manual,"This Land Rover Series III 88"" is a stylish classic 4x4, featuring a galvanised chassis, recent Exmoor trim, and numerous mechanical upgrades. With documented mileage and a host of extras, it's ready for all weather conditions.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-series-iii-88-8e1c7e
Range,Rover 30th Anniversary Limited Edition,2001,6 Aug 2025,"£10,000 - £12,000",Automatic,"Limited edition P38 right hand drive; rare opportunity to own a piece of Land Rover history; one of only 200 UK examples; two keepers from new, currently owned for the last 21 yearsA limited-edition 2001 Range Rover P38 30th Anniversary model, commemorating 30 years of the Range Rover, is available for sale. These models are sought after by collectors and enthusiasts due to their unique features and limited production numbers.Approximately 400 of these 30th Anniversary models were produced, with 200 for the UK market and 200 for the rest of the world.Each are adorned with a 30th Anniversary badge to the tailgate and production ended in 2001.Finished in Wimbledon Green Metallic with body-coloured bumpers and mirrors.The interior features Connolly hide leather, burr maple wood veneer, and high-quality wood carpets.Only two owners from new with the vendor owning the car for the last 21 years.Full-service history with 10 stamps in the book, the last being done in March 2024.With a total ...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-range-rover-second-generation-20b6e8
Mercedes,Benz CLK 320 Elegance Convertible,1999,6 Aug 2025,"£3,500 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-clk-320-673a3e
Ford,Dorchester Fairline Limousine,2007,6 Aug 2025,"£2,000 - £3,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-dorchester-e646ba
Bentley,Mulsanne S Auto,1991,6 Aug 2025,"£8,500 - £10,000",,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bentley-mulsanne-s-9f35cb
,,TBC,6 Aug 2025,,Automatic,"This 1973 Triumph Stag, owned by the vendor for 45 years, features its original V8 engine and automatic transmission. While the paintwork shows some age, the car has a rebuilt engine, a soft top hood, and a color-coded hardtop, making it a reluctant sale due to the vendor's lack of garage space.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-stag-d4208c
Toyota,Celica ST Coupe,1976,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1976 Toyota Celica ST, with its eye-catching orange paint, presents a cool retro vibe. Having been subject to an insurance claim resulting in a Cat N marker, it runs well and could be a good value project.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-toyota-celica-st-a6d809
Austin,Seven Type EK Type 75/Speedy,1934,6 Aug 2025,"£30,000 - £32,000",Manual,"This Austin Seven Speedy is believed to be one of only 7 survivors. It has a long history, including time in a motor museum, and is now ready to drive.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-seven-a1cb60
MGB,Roadster,1972,6 Aug 2025,"£10,000 - £12,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-6f440a
,,TBC,6 Aug 2025,,Manual,"This is a restored 1969 LHD Fiat 500 with a 650cc engine, rebuilt gearbox, and new clutch. It features leather seats, new carpets, new bumpers, and a fresh repaint, making it a very smart and appealing classic car.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-fiat-500-316adb
MGB,Roadster,1963,6 Aug 2025,"£8,000 - £10,000",Manual,"This early MGB Roadster has undergone an extensive restoration, including a bare metal respray and engine rebuild. While the seats show their age, the car is running well, presenting a cool opportunity for summer cruising.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-79be52
MGB,Roadster,1964,6 Aug 2025,"£20,000 - £22,000",Manual,"This MGB Roadster, manufactured in 1964 and rebuilt in 1992 as a competition vehicle, features extensive modifications including engine upgrades, FIA safety devices, and a close ratio gearbox. With recent upgrades in 2024 and a Motorsport UK competition passport issued in 2025, it's ready for historic motorsport events, though the Historic Rally Vehicle Identity Form was not finalized.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-b278e9
Range,Rover Vogue 4.4 V8,2004,6 Aug 2025,"£4,500 - £6,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-range-rover-third-generation-063142
Land,"Rover S2A 109"" Petrol",1963,6 Aug 2025,"£3,500 - £5,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-series-iia-109-dfdd79
Mercedes-Benz,S350 BlueEfficiency CDI,2009,6 Aug 2025,"£4,500 - £6,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-other-32bd39
Vanden,Plas 1500 Mk1,1974,6 Aug 2025,"£6,500 - £7,500",Automatic,"This 1974 Vanden Plas 1500 Automatic, a former show-winner, boasts believed low mileage and extensive history. It features a recent service, long MOT, and comes with original literature, making it a very desirable classic.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-vanden-plas-1500-33288c
BMW,Z4 3.0 Si Sport Coupe,2007,6 Aug 2025,"£6,500 - £7,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-z4-sport-f41052
,,TBC,6 Aug 2025,,Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-daimler-conquest-108cae
Morgan,Plus 4,1966,6 Aug 2025,"£8,000 - £12,000",Manual,"This is a 1966 left-hand drive Morgan Plus 4, imported from Ohio in 2020. The car requires recommissioning and a repaint, though a new convertible hood has been fitted.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-morgan-plus-4-22fc3a
Wolseley,6/80 Saloon,1952,6 Aug 2025,"£5,000 - £8,000",Manual,"From a deceased estate; few owners; sympathetically restored about 10 years ago and lightly used since; a wonderful example with bags of character; drives as well as it looks'Evening all, what's going on here then?' Introduced in 1948, the Wolseley 6/80 is forever associated with gritty post-war crime dramas, speeding through the blitz-damaged streets of London with a pair of burly Scotland Yard detectives on board, the illuminated Wolseley radiator badge bearing down fast on the fleeing villains.  An upmarket version of the Morris MS Six, the 6/80 had the same silky smooth 2.2-litre OHC straight-six but with twin carbs which boosted power to 72bhp.Driving through a four-speed column-change gearbox, the 6/80 had a top speed of 80mph with handling the baddies just couldn’t match in their stolen Post Office van thanks to independent front suspension with torsion bars.The plush interior boasted lashings of wood and leather with comprehensive dash instruments and an efficient heating/dem...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-wolseley-6-80-532a61
Ford,Capri MkIII 2.8 Injection,1987,6 Aug 2025,"£14,000 - £16,000",Manual,"This is a restored 1987 Ford coupe with a 2.8 injection V6 engine, featuring a rebuilt engine with Kent camshaft, upgraded suspension, brakes and a leather interior. It has a long MOT and low mileage since restoration, making it ready to enjoy.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-capri-mk-iii-2-8-injection-ac3317
Reliant,Scimitar GTE SE6A,1979,6 Aug 2025,"£6,500 - £8,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-reliant-scimitar-gte-a97df2
Sunbeam,16 HP Drophead Coupe,1932,6 Aug 2025,"£15,000 - £20,000",Manual,"This 1932 Sunbeam 16HP drophead coupe is listed as a rolling restoration project, requiring interior and mechanical work. It was purchased by the vendor's family in 1981 and comes with limited history, including a list of previous owners.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-sunbeam-sixteen-aae375
Porsche,911 3.4 Carrera 2 (996),1998,6 Aug 2025,"£12,000 - £14,000",Manual,"This 1998 Porsche 996 has been owned by the current owner since 2009. It has been stored in a dehumidified garage from 2011 to 2025 and has recently been recommissioned with a £3,000 service, with options including sports suspension and limited slip diff.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-porsche-911-996-carrera-coupe-8b5cff
Saab,9-3 SE Convertible,2001,6 Aug 2025,"£3,000 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-saab-9-3-70e100
Mercedes,Benz SLK 55 AMG,2007,6 Aug 2025,"£12,000 - £14,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-r171-slk-55-amg-030837
